win,assists,baronKills,champLevel,champion,deaths,dragonKills,firstBloodKill,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,kills,magicDamageDealt,neutralMinionsKilled,pentaKills,physicalDamageDealt,spell1,spell2,Summoner_name,timeCCingOthers,totalDamageDealt,totalHeal,totalMinionsKilled,trueDamageDealt,turretTakedowns,visionScore,wardsPlaced,matchId,gameDuration,gameCreation,gameStartTimestamp,gameEndTimestamp,gameMode,gameType
True,16,0,18,Belveth,4,2,False,False,False,False,16313,14800,JUNGLE,0,1,0,7,35213,214,0,224231,SummonerSmite,SummonerFlash,Amico Mio,26,318556,16334,37,59111,7,41,0,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
True,18,0,14,Nautilus,8,0,False,False,False,False,8340,6975,UTILITY,0,1,0,0,10277,0,0,8710,SummonerExhaust,SummonerFlash,Peppe2502,60,26321,1170,43,7333,4,84,24,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
True,20,0,17,Ornn,5,0,False,False,False,False,11812,11180,TOP,0,1,0,3,63419,4,0,79086,SummonerFlash,SummonerTeleport,Zerovskij,54,145354,10734,192,2848,4,36,10,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
True,14,0,16,Xayah,6,0,False,True,False,False,14856,13055,BOTTOM,0,1,0,8,1293,24,0,201290,SummonerHeal,SummonerFlash,SecretsPrompt,26,202586,5492,228,2,6,33,13,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
True,13,0,18,AurelionSol,2,2,False,False,False,False,17279,15475,MIDDLE,1,1,0,14,171477,19,0,7780,SummonerFlash,SummonerTeleport,Kim Jong Gandih,19,188616,7216,221,9358,1,47,17,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
False,5,0,16,Vayne,5,0,True,False,False,False,17118,17150,BOTTOM,0,0,1,15,16309,11,0,136194,SummonerFlash,SummonerHeal,Nouva,14,181531,6593,227,29026,2,30,10,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
False,6,0,17,Darius,7,0,False,False,False,False,12526,11550,TOP,0,0,1,4,130,0,0,139543,SummonerFlash,SummonerHaste,CediLF,31,153246,7627,211,13571,1,18,13,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
False,14,3,17,Nunu,9,2,False,False,False,False,13135,11250,JUNGLE,0,0,1,2,76641,190,0,33061,SummonerDot,SummonerSmite,PandaNomNom12,50,245476,20756,23,135771,0,38,12,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
False,19,0,14,Alistar,7,0,False,False,False,False,9659,9225,UTILITY,0,0,1,1,14534,0,0,6795,SummonerFlash,SummonerDot,NomNomPanda21,67,28375,8872,36,7045,1,61,33,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
False,13,0,17,Viktor,4,0,False,False,False,False,12239,13335,MIDDLE,0,0,1,3,160913,2,0,11757,SummonerFlash,SummonerHaste,Schwengulian,29,172748,632,216,77,1,23,12,EUW1_6333433318,2235,1679861296579,1679861331571,1679863566500,CLASSIC,MATCHED_GAME
True,4,0,12,MonkeyKing,2,1,False,False,False,False,7935,6975,JUNGLE,0,1,0,2,13448,112,0,80869,SummonerSmite,SummonerFlash,Amico Mio,7,132050,9134,8,37732,6,13,1,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
True,7,0,9,Nautilus,4,0,False,False,False,False,5331,4300,UTILITY,1,1,0,0,4803,0,0,5876,SummonerDot,SummonerFlash,Peppe2502,22,22314,542,32,11634,4,24,8,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
True,0,0,13,Mordekaiser,3,0,False,False,False,False,8719,9310,TOP,0,0,0,7,66982,0,0,14548,SummonerFlash,SummonerTeleport,Zerovskij,15,88663,5165,150,7131,1,17,7,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
True,2,0,10,Xayah,2,0,False,False,False,False,7867,5950,BOTTOM,0,1,0,5,341,4,0,63939,SummonerHeal,SummonerFlash,SecretsPrompt,13,69515,2875,128,5235,5,18,7,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
True,2,0,13,Chogath,2,1,False,True,False,False,8738,7575,MIDDLE,0,1,0,4,84033,8,0,15161,SummonerFlash,SummonerTeleport,Kim Jong Gandih,55,113036,7096,161,13842,4,17,6,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
False,0,0,12,Sett,4,0,True,False,False,False,6960,6250,TOP,0,0,1,2,53,4,0,63695,SummonerFlash,SummonerDot,NkTKranoh,14,66312,3307,120,2563,1,11,7,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
False,1,0,13,Lissandra,3,0,False,False,False,False,7807,7135,MIDDLE,0,0,1,4,93265,0,0,9485,SummonerTeleport,SummonerFlash,taiponskill,30,103279,702,169,529,0,10,6,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
False,4,0,12,Trundle,5,0,False,False,False,False,6901,5650,JUNGLE,0,0,1,1,1006,104,0,96796,SummonerFlash,SummonerSmite,Big Master MC,12,123641,11808,8,25837,1,3,3,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
False,3,0,11,Ezreal,2,0,False,False,False,False,7898,6950,BOTTOM,0,0,1,4,6558,0,0,54636,SummonerFlash,SummonerHeal,Eagle90,0,61195,2183,141,0,0,6,4,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
False,3,0,9,Thresh,4,0,False,False,False,False,5294,4550,JUNGLE,0,0,1,2,5571,0,0,2623,SummonerExhaust,SummonerFlash,psyycopatart,26,12086,0,27,3891,0,30,14,EUW1_6333320894,1214,1679858045101,1679858123422,1679859338235,CLASSIC,MATCHED_GAME
True,9,0,17,Camille,4,0,False,True,False,False,13408,12980,TOP,1,1,0,7,1339,17,0,129330,SummonerTeleport,SummonerFlash,KiÖ,26,155593,11799,185,24924,4,11,6,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
True,24,1,17,JarvanIV,4,4,False,False,False,False,16203,14825,JUNGLE,1,1,0,10,19923,178,0,231693,SummonerSmite,SummonerFlash,Amico Mio,35,300513,18936,64,48896,2,31,3,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
True,10,0,17,Galio,5,0,True,False,False,False,14895,13545,MIDDLE,1,1,0,18,158607,0,0,6286,SummonerFlash,SummonerDot,Kim Jong Gandih,42,171650,9360,179,6756,1,13,9,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
True,4,0,13,Lucian,4,0,False,False,False,False,12606,11750,BOTTOM,0,0,0,11,11914,3,0,134681,SummonerFlash,SummonerBoost,Dojyann,0,146804,3498,158,208,4,20,7,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
True,23,0,14,Yuumi,1,0,False,False,False,False,9182,7825,UTILITY,0,1,0,2,13436,0,0,224,SummonerExhaust,SummonerDot,Kradas,17,14239,8002,1,578,6,42,20,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
False,5,0,14,Warwick,11,0,False,False,False,False,8436,8100,TOP,0,0,3,1,28868,6,0,60942,SummonerTeleport,SummonerHaste,janislaww,25,113956,14181,138,24145,0,10,6,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
False,6,0,14,Shaco,11,0,False,False,False,False,12430,12175,JUNGLE,0,0,3,7,77436,89,0,20742,SummonerSmite,SummonerDot,olommas,39,134270,8269,33,36090,0,26,3,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
False,7,0,14,Xerath,6,0,False,False,False,False,10732,9300,MIDDLE,0,0,3,5,119210,0,0,7929,SummonerFlash,SummonerTeleport,Athrunn,31,131435,772,187,4295,1,11,9,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
False,6,0,13,Ezreal,11,0,False,False,False,False,10487,10450,BOTTOM,0,0,3,3,10035,8,0,83695,SummonerFlash,SummonerExhaust,Gobi,6,111236,3300,153,17505,1,18,10,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
False,9,0,13,Zyra,9,0,False,False,False,False,8854,6925,UTILITY,0,0,3,2,54976,0,0,3791,SummonerDot,SummonerFlash,Yaazla,53,62186,1776,48,3418,1,52,25,EUW1_6332885770,1790,1679844873072,1679844904100,1679846694081,CLASSIC,MATCHED_GAME
False,1,0,15,Darius,11,0,False,False,False,False,9997,9508,TOP,0,0,3,2,0,0,0,116326,SummonerFlash,SummonerHaste,dabdiel,22,130992,4921,187,14666,0,11,7,EUW1_6322963062,1977,1679263735460,1679263884795,1679265861816,CLASSIC,MATCHED_GAME
False,6,0,15,Kayn,5,0,False,False,False,False,12269,11700,JUNGLE,0,0,3,4,84,107,0,182825,SummonerFlash,SummonerSmite,madz met deezet,47,213128,23816,86,30217,0,22,2,EUW1_6322963062,1977,1679263735460,1679263884795,1679265861816,CLASSIC,MATCHED_GAME
False,3,0,15,AurelionSol,12,0,False,False,False,False,14164,13775,MIDDLE,0,0,3,6,147849,13,0,3596,SummonerFlash,SummonerTeleport,supereendmax,33,163195,11,204,11748,0,16,10,EUW1_6322963062,1977,1679263735460,1679263884795,1679265861816,CLASSIC,MATCHED_GAME
False,7,0,14,Twitch,8,0,False,False,False,False,11961,10950,BOTTOM,0,0,3,7,867,8,0,115834,SummonerFlash,SummonerHaste,papa baars,17,139126,4144,158,22425,0,14,11,EUW1_6322963062,1977,1679263735460,1679263884795,1679265861816,CLASSIC,MATCHED_GAME
False,11,0,13,Sona,10,0,False,False,False,False,7451,6950,UTILITY,0,0,3,1,14804,0,0,3284,SummonerFlash,SummonerHeal,faker husband,17,18337,18367,9,248,0,12,4,EUW1_6322963062,1977,1679263735460,1679263884795,1679265861816,CLASSIC,MATCHED_GAME
